Service Desk,31051
Soporte Especializado en Aplicativos Inetum,21628
End User,10439
Soporte App Evolución Soriana Inetum,7361
Soporte Fenix_WMS,5634
Seguridad Informática,5538
Control de Accesos TI,5184
Fenicia,3802
Soporte AMS Inetum,3630
Proveedor Banamex,3438
Soporte Campo,3317
Soporte RETO,3136
Power BI,2907
Proveedor Lexmark,2099
Soporte Portal Socios Inetum,1982
Autocobro,1790
Soporte Infraestructura TI,1787
Soporte Operaciones,1783
Control Tower,1752
Proveedor NCR,1542
Soporte N3 App Evolucion - BlueYonder,1396
Soporte OAT,1384
Soporte Azure,1305
Proveedor RODHE,1230
Vendor Managment,1163
Administración Base de Datos,1087
WMS Nivel 2.5,1083
Control de equipos,1014
Proveedor Berkel,899
Proveedor Transnetwork,712
Soporte SAP Basis,642
Proveedor Sonda,573
Laboratorio de Sistemas,516
Proveedor Bizerba,463
Soporte Cableado de red,429
Soporte UPS,342
Proveedor Realfix,327
Proveedor Mexba,298
Portal de Servicios TI (Proactivanet),264
Control Ingresos,213
Proveedor Honeywell,193
Proveedor LinkX,176
Proveedor Toshiba,166
Soporte N3 WMS,161
Backoffice Promocional ( BOP ),66
Soporte Servidores,65
Soporte N3 Mesa Control,42
Monitoreo Activación Continua,26
Proveedor PCM,24
Colaboracion Electronica,24
SD Soporte CEDIS Inetum,12
Soporte 1.5 Cedis,10
Acuerdos Comerciales,10
Proveedor Ixpan,10
Soporte Fenix Netlogistik,8
Datos Maestros - Análisis,3
NCR Nivel 3,1
Soporte LETRA,1
Proveedor FTC,1
